Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
1760,13-04-2016,Legalraasta,Consumer Internet,Online legal Services for Startups,New Delhi,Pravin Khandelwal Yatin Kumar Jain,Seed Funding,1000000.0
1761,13-04-2016,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,150000.0
1762,13-04-2016,Hippily,E-commerce,Fashion E-commerce App,Mumbai,Dr. Sridhar Ramaswamy Rakesh Mathur,Seed Funding,250000.0
1763,13-04-2016,kredX,E-commerce,Invoice discounting Marketplace,Bangalore,Prime Venture Partners,Seed Funding,750000.0
1765,14-04-2016,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,Rajeev Agrawal Prashant Gooty,Seed Funding,100000.0
1767,15-04-2016,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed Funding,1000000.0
1769,15-04-2016,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity,15000000.0
1772,15-04-2016,NestAway,Consumer Internet,Furnished Home Rental Platform,Bangalore,Tiger Global,Private Equity,30000000.0
1773,15-04-2016,Tapchief,Consumer Internet,Expert Advice Platform,Bangalore,Vijay Shekhar Sharma,Seed Funding,150000.0
1778,18-04-2016,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,10000000.0
1780,19-04-2016,Betaout,E-commerce,customer intelligence and marketing automation platform,Noida,Stanford Angels LetsVenture Chennai Angels Hyderabad Angels Mumbai Angels,Private Equity,1500000.0
1781,19-04-2016,DriversCart,Consumer Internet,on-demand chauffeur provider,Chennai,ah! Ventures,Seed Funding,450000.0
1783,19-04-2016,CollegeDekho,Consumer Internet,College & Student information platform,New Delhi,Man Capital,Private Equity,2000000.0
1787,20-04-2016,1mg,E-commerce,Online Pharmacy,Gurgaon,Maverick Capital Ventures Sequoia Capital Omidyar Network,Private Equity,15000000.0
1794,22-04-2016,Licious,E-commerce,Mobile based Meat ordering App,Bangalore,Mayfield India II Management Ltd,Private Equity,3000000.0
1797,22-04-2016,TOKO Innovation Studios,Consumer Internet,Childrens Entertainment Games & Products,New Delhi,Indian Angel network,Seed Funding,450000.0
1798,25-04-2016,Commut,Consumer Internet,Shuttle Service Provider,Hyderabad,50K Ventures,Seed Funding,200000.0
1800,25-04-2016,Dropkaffe,Food & Beverage,Ready-to-Drink Beverage Producer,Bangalore,GrowthStory Apurva Salapuria Hitesh Oberoi Sidharth Pansari Nirupa Shankar,Seed Funding,550000.0
1801,26-04-2016,Transerv,Consumer Internet,Digital Payments platform,Mumbai,IDFC SPICE Fund Micromax Informatics,Private Equity,15000000.0
1802,26-04-2016,ClearTax,Consumer Internet,Online filing of Tax returns,Bangalore,Max Levchin Scott Banister,Private Equity,1300000.0
1803,26-04-2016,Roposo,E-commerce,Social Fashion E-commerce Discovery platform,Gurgaon,Bertelsmann India Investments,Private Equity,15000000.0
1804,27-04-2016,MilkBasket,Consumer Internet,Micro Grocery Delivery Platform,Gurgaon,EVC Ventures,Seed Funding,500000.0
1807,27-04-2016,ICHR,Consumer Internet,Mobile based Children health Information app,New Delhi,Undisclosed,Seed Funding,450000.0
1809,28-04-2016,The Wedding Brigade,Consumer Internet,Online Wedding Information Portal,Mumbai,Blume Ventures & Other unnamed Investors,Seed Funding,600000.0
1810,28-04-2016,DocsApp,Consumer Internet,Online Doctor Discovery & Chat platform,Bangalore,Rebright Partners Anand Rajaraman Venky Harinarayan,Private Equity,1200000.0
1811,29-04-2016,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,RB Investments Fundnel,Seed Funding,500000.0
1812,29-04-2016,LetReach,E-commerce,E-commerce SAAS Solutions,New Delhi,vCommission,Private Equity,100000.0
1817,02-03-2016,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,600000.0
1819,02-03-2016,Systemantics,Technology,Industrial robots maker,Bangalore,Nandan Nilekani Accel Partners,Private Equity,1400000.0
1821,03-03-2016,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,Blinc Advisors Amit Nanavati Tashwinder Singh Taranjit Jaswal Amit Khanna,Private Equity,1000000.0
1822,03-03-2016,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Seed Funding,500000.0
1824,04-03-2016,Aahaa,E-commerce,Office Products Super Store,Chennai,YourNest Angel Fund,Private Equity,1000000.0
1826,04-03-2016,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed Funding,150000.0
1828,04-03-2016,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,Daman Soni Rajat Gupta & Others,Seed Funding,100000.0
1830,04-03-2016,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity,4000000.0
1831,07-03-2016,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,Ruchirans Jaipuria Anuj Sanghi,Seed Funding,500000.0
1832,07-03-2016,Ninjacart,E-commerce,B2B marketplace for Farmers & Retailers,Bangalore,Accel Partners Qualcomm Ventures M&S Partners Zop Smart,Private Equity,3000000.0
1833,07-03-2016,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,Rebright Partners Sol Primero Sudhir Anandarao Ankur Warikoo Ankur Singla,Seed Funding,500000.0
1834,07-03-2016,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed Funding,250000.0
1836,07-03-2016,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Seed Funding,100000.0
1840,08-03-2016,LoveCycles,Consumer Internet,Womens health Tracker,Bangalore,Prime Venture Partners,Seed Funding,750000.0
1841,08-03-2016,Kartrocket,E-commerce,E-commerce SAAS platform,New Delhi,Undisclosed Japanese investor Bertelsmann India Investments Nirvana Digital India Fund Nirvana Digital Investment Holding Co Ltd 500 Start-Ups,Private Equity,8000000.0
1842,08-03-2016,dunzo,Consumer Internet,Daily Task Management App,Bangalore,Aspada Investment Advisors Blume Ventures.,Seed Funding,650000.0
1844,09-03-2016,SmartVizX,Technology,Virtual Reality Solutions,Noida,Indian Angel Network Stanford Angels Entrepreneurs India,Seed Funding,500000.0
1845,09-03-2016,MyGubbi,Real Estate,Interior Design & Home Decor Solutions,Bangalore,Vipul Parekh ajesh K Murthy,Seed Funding,2500000.0
1846,09-03-2016,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed Funding,1000000.0
1848,09-03-2016,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,400000.0
1850,10-03-2016,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,Private Equity,11100000.0
1852,10-03-2016,Icertis,Technology,Contract Management Software Solutions platform,Pune/Seattle,Ignition Partners Greycroft Partners Fidelity Growth Partners India,Private Equity,15000000.0
1853,10-03-2016,Supplified,E-commerce,Construction material eTailer,New Delhi,Mohit Goel,Seed Funding,1000000.0
1855,14-03-2016,PinkBlue,E-commerce,Medical Supplies eTailer,Bangalore,Hari Krishna Ajay Modani Dr V Ravinder Anirudh Rastogi Abhishek Jain Rakesh Gakhar Rajeev Mudumba Nagendra Prasad Bhanuprakash,Seed Funding,223608.0
1856,14-03-2016,TruckingCube,Logistics,Domestic Commercial and Industrial Goods Movers,New Delhi,Agarwal Movers Group,Private Equity,14900000.0
1858,15-03-2016,FlipClass,Consumer Internet,Tutor Search Platform,Bangalore,S Chand and Co Pvt Ltd Blume Ventures,Private Equity,1000000.0
